Service,Kind,Label,Start,End
cdn,timeout,timeout,2024-03-05 07:16:26,2024-03-05 07:16:36
api-gateway,error,error,2024-03-10 01:29:13,
auth,request,request,2024-03-05 08:02:00,2024-03-05 08:02:01
api-gateway,request,request,2024-03-06 15:41:41,2024-03-06 15:41:42
cdn,slow-query,slow-query,2024-03-06 11:36:00,2024-03-06 11:36:02
search,request,request,2024-03-08 15:07:52,2024-03-08 15:07:52
api-gateway,slow-query,slow-query,2024-03-09 08:48:18,2024-03-09 08:48:25
api-gateway,slow-query,slow-query,2024-03-08 21:49:11,2024-03-08 21:49:18
cdn,request,request,2024-03-07 11:57:35,2024-03-07 11:57:36
billing,request,request,2024-03-08 07:14:13,2024-03-08 07:14:13
render,request,request,2024-03-04 00:42:30,2024-03-04 00:42:31
api-gateway,request,request,2024-03-07 11:25:28,2024-03-07 11:25:29
cdn,request,request,2024-03-04 16:38:43,2024-03-04 16:38:45
api-gateway,slow-query,slow-query,2024-03-09 19:25:51,2024-03-09 19:25:59
api-gateway,request,request,2024-03-05 04:53:19,2024-03-05 04:53:20
db-proxy,request,request,2024-03-08 23:47:26,2024-03-08 23:47:27
auth,request,request,2024-03-08 20:44:42,2024-03-08 20:44:43
search,error,error,2024-03-08 05:33:44,
search,slow-query,slow-query,2024-03-05 08:14:56,2024-03-05 08:15:01
render,request,request,2024-03-09 02:42:08,2024-03-09 02:42:08
api-gateway,request,request,2024-03-05 12:38:51,2024-03-05 12:38:51
search,slow-query,slow-query,2024-03-10 09:24:55,2024-03-10 09:24:59
render,request,request,2024-03-06 22:47:47,2024-03-06 22:47:47
db-proxy,request,request,2024-03-04 14:31:58,2024-03-04 14:31:58
db-proxy,error,error,2024-03-06 11:39:58,
render,request,request,2024-03-07 11:24:01,2024-03-07 11:24:01
api-gateway,request,request,2024-03-10 21:30:36,2024-03-10 21:30:37
auth,slow-query,slow-query,2024-03-10 20:16:29,2024-03-10 20:16:34
billing,error,error,2024-03-10 18:46:56,
cdn,timeout,timeout,2024-03-07 09:00:08,2024-03-07 09:00:35
cdn,timeout,timeout,2024-03-04 07:49:07,2024-03-04 07:49:33
queue,request,request,2024-03-04 03:54:21,2024-03-04 03:54:22
auth,timeout,timeout,2024-03-09 05:43:37,2024-03-09 05:44:04
cdn,request,request,2024-03-10 09:38:47,2024-03-10 09:38:47
queue,slow-query,slow-query,2024-03-08 09:31:55,2024-03-08 09:32:01
cdn,request,request,2024-03-07 02:58:41,2024-03-07 02:58:42
render,request,request,2024-03-05 18:37:26,2024-03-05 18:37:27
cdn,request,request,2024-03-06 01:00:29,2024-03-06 01:00:29
billing,request,request,2024-03-09 22:55:39,2024-03-09 22:55:40
search,request,request,2024-03-05 12:50:33,2024-03-05 12:50:34
queue,request,request,2024-03-04 09:46:31,2024-03-04 09:46:31
billing,request,request,2024-03-07 14:21:35,2024-03-07 14:21:35
queue,request,request,2024-03-07 13:28:42,2024-03-07 13:28:43
queue,request,request,2024-03-08 19:41:34,2024-03-08 19:41:35
billing,request,request,2024-03-05 04:37:11,2024-03-05 04:37:12
api-gateway,request,request,2024-03-05 07:58:49,2024-03-05 07:58:50
queue,retry,retry,2024-03-08 11:50:10,2024-03-08 11:50:10
cdn,request,request,2024-03-04 16:15:05,2024-03-04 16:15:05
api-gateway,retry,retry,2024-03-04 19:20:39,2024-03-04 19:20:39
db-proxy,request,request,2024-03-08 08:34:43,2024-03-08 08:34:44
billing,request,request,2024-03-09 23:41:06,2024-03-09 23:41:06
db-proxy,request,request,2024-03-09 08:16:46,2024-03-09 08:16:47
queue,error,error,2024-03-06 22:13:25,
db-proxy,request,request,2024-03-10 10:27:55,2024-03-10 10:27:56
queue,request,request,2024-03-07 21:10:07,2024-03-07 21:10:08
auth,request,request,2024-03-06 08:49:47,2024-03-06 08:49:48
auth,request,request,2024-03-08 06:00:11,2024-03-08 06:00:11
cdn,error,error,2024-03-09 20:11:51,
render,request,request,2024-03-06 05:32:07,2024-03-06 05:32:08
cdn,retry,retry,2024-03-08 13:32:19,2024-03-08 13:32:21
cdn,request,request,2024-03-04 02:30:12,2024-03-04 02:30:13
api-gateway,error,error,2024-03-06 14:39:00,
search,timeout,timeout,2024-03-07 19:39:16,2024-03-07 19:39:44
db-proxy,request,request,2024-03-04 03:26:14,2024-03-04 03:26:15
auth,request,request,2024-03-10 10:24:46,2024-03-10 10:24:47
cdn,timeout,timeout,2024-03-07 20:37:52,2024-03-07 20:38:14
queue,error,error,2024-03-06 11:02:42,
billing,request,request,2024-03-04 12:09:32,2024-03-04 12:09:33
cdn,request,request,2024-03-07 02:45:05,2024-03-07 02:45:05
queue,request,request,2024-03-10 08:40:24,2024-03-10 08:40:25
render,request,request,2024-03-07 14:04:30,2024-03-07 14:04:31
api-gateway,retry,retry,2024-03-08 13:16:11,2024-03-08 13:16:12
auth,request,request,2024-03-04 03:35:13,2024-03-04 03:35:14
api-gateway,timeout,timeout,2024-03-10 08:24:04,2024-03-10 08:24:22
db-proxy,error,error,2024-03-06 02:08:20,
auth,slow-query,slow-query,2024-03-07 07:24:57,2024-03-07 07:25:02
auth,error,error,2024-03-04 09:27:48,
billing,timeout,timeout,2024-03-04 00:31:15,2024-03-04 00:31:42
render,request,request,2024-03-06 02:52:46,2024-03-06 02:52:46
billing,request,request,2024-03-07 02:24:28,2024-03-07 02:24:29
api-gateway,retry,retry,2024-03-10 06:30:24,2024-03-10 06:30:25
api-gateway,request,request,2024-03-05 11:59:47,2024-03-05 11:59:48
search,slow-query,slow-query,2024-03-10 13:40:21,2024-03-10 13:40:26
queue,request,request,2024-03-10 07:41:09,2024-03-10 07:41:10
auth,request,request,2024-03-07 11:33:43,2024-03-07 11:33:43
search,timeout,timeout,2024-03-08 04:07:45,2024-03-08 04:08:13
db-proxy,retry,retry,2024-03-10 02:10:18,2024-03-10 02:10:19
render,request,request,2024-03-04 07:55:26,2024-03-04 07:55:27
cdn,request,request,2024-03-08 17:01:48,2024-03-08 17:01:48
api-gateway,timeout,timeout,2024-03-06 14:32:24,2024-03-06 14:32:42
auth,request,request,2024-03-06 19:08:50,2024-03-06 19:08:51
billing,retry,retry,2024-03-08 13:29:50,2024-03-08 13:29:51
render,request,request,2024-03-10 23:55:48,2024-03-10 23:55:49
api-gateway,request,request,2024-03-06 05:09:31,2024-03-06 05:09:31
queue,request,request,2024-03-07 22:06:32,2024-03-07 22:06:33
billing,request,request,2024-03-05 00:56:29,2024-03-05 00:56:29
api-gateway,slow-query,slow-query,2024-03-08 10:18:34,2024-03-08 10:18:41
billing,request,request,2024-03-10 01:47:21,2024-03-10 01:47:22
billing,request,request,2024-03-05 06:53:51,2024-03-05 06:53:53
search,timeout,timeout,2024-03-08 02:30:09,2024-03-08 02:30:18
cdn,request,request,2024-03-06 04:24:26,2024-03-06 04:24:27
render,request,request,2024-03-04 13:29:33,2024-03-04 13:29:34
billing,request,request,2024-03-04 10:49:43,2024-03-04 10:49:43
db-proxy,request,request,2024-03-08 12:50:14,2024-03-08 12:50:14
api-gateway,retry,retry,2024-03-05 12:34:04,2024-03-05 12:34:05
api-gateway,slow-query,slow-query,2024-03-04 18:48:09,2024-03-04 18:48:17
api-gateway,request,request,2024-03-10 10:21:09,2024-03-10 10:21:10
billing,error,error,2024-03-09 20:07:28,
queue,slow-query,slow-query,2024-03-09 03:45:53,2024-03-09 03:46:01
api-gateway,request,request,2024-03-10 10:49:17,2024-03-10 10:49:17
search,request,request,2024-03-08 18:46:12,2024-03-08 18:46:12
api-gateway,request,request,2024-03-09 06:01:04,2024-03-09 06:01:04
auth,timeout,timeout,2024-03-06 23:07:30,2024-03-06 23:07:52
db-proxy,request,request,2024-03-09 06:58:10,2024-03-09 06:58:11
billing,request,request,2024-03-08 02:00:27,2024-03-08 02:00:28
cdn,retry,retry,2024-03-07 06:31:51,2024-03-07 06:31:52
render,request,request,2024-03-08 17:33:50,2024-03-08 17:33:51
render,timeout,timeout,2024-03-04 20:25:00,2024-03-04 20:25:26
cdn,error,error,2024-03-06 04:15:18,
queue,request,request,2024-03-09 18:17:03,2024-03-09 18:17:03
billing,request,request,2024-03-05 11:30:00,2024-03-05 11:30:00
queue,request,request,2024-03-07 19:48:05,2024-03-07 19:48:06
auth,slow-query,slow-query,2024-03-04 10:12:17,2024-03-04 10:12:20
queue,request,request,2024-03-07 13:13:50,2024-03-07 13:13:51
search,request,request,2024-03-07 18:22:10,2024-03-07 18:22:10
billing,request,request,2024-03-09 08:53:46,2024-03-09 08:53:46
render,request,request,2024-03-09 04:43:29,2024-03-09 04:43:30
queue,slow-query,slow-query,2024-03-06 18:10:07,2024-03-06 18:10:10
db-proxy,request,request,2024-03-05 16:08:22,2024-03-05 16:08:23
api-gateway,request,request,2024-03-09 00:55:25,2024-03-09 00:55:25
auth,request,request,2024-03-05 17:11:16,2024-03-05 17:11:16
cdn,timeout,timeout,2024-03-08 18:23:52,2024-03-08 18:24:08
queue,request,request,2024-03-08 06:13:59,2024-03-08 06:14:00
queue,request,request,2024-03-10 21:00:33,2024-03-10 21:00:35
search,slow-query,slow-query,2024-03-10 13:07:35,2024-03-10 13:07:41
queue,timeout,timeout,2024-03-06 05:29:40,2024-03-06 05:29:49
api-gateway,retry,retry,2024-03-08 05:08:35,2024-03-08 05:08:37
cdn,request,request,2024-03-08 20:04:40,2024-03-08 20:04:40
render,request,request,2024-03-10 15:20:57,2024-03-10 15:20:58
render,request,request,2024-03-08 06:22:44,2024-03-08 06:22:45
db-proxy,request,request,2024-03-07 06:20:38,2024-03-07 06:20:38
search,request,request,2024-03-05 14:06:04,2024-03-05 14:06:05
search,request,request,2024-03-07 05:24:41,2024-03-07 05:24:42
queue,request,request,2024-03-07 19:20:33,2024-03-07 19:20:34
billing,request,request,2024-03-07 07:48:31,2024-03-07 07:48:31
queue,request,request,2024-03-10 19:30:40,2024-03-10 19:30:41
queue,request,request,2024-03-09 09:43:49,2024-03-09 09:43:49
auth,retry,retry,2024-03-06 22:28:15,2024-03-06 22:28:16
billing,retry,retry,2024-03-09 16:01:14,2024-03-09 16:01:16
search,timeout,timeout,2024-03-06 06:20:50,2024-03-06 06:21:12
auth,request,request,2024-03-06 14:09:43,2024-03-06 14:09:44
queue,slow-query,slow-query,2024-03-09 10:56:23,2024-03-09 10:56:32
search,request,request,2024-03-10 05:21:30,2024-03-10 05:21:30
db-proxy,retry,retry,2024-03-04 21:49:26,2024-03-04 21:49:27
api-gateway,slow-query,slow-query,2024-03-07 11:41:19,2024-03-07 11:41:25
queue,error,error,2024-03-08 18:52:03,
billing,timeout,timeout,2024-03-09 20:48:26,2024-03-09 20:48:44
auth,timeout,timeout,2024-03-07 19:11:05,2024-03-07 19:11:22
render,slow-query,slow-query,2024-03-08 01:35:07,2024-03-08 01:35:09
render,slow-query,slow-query,2024-03-06 15:11:33,2024-03-06 15:11:39
api-gateway,error,error,2024-03-05 10:04:10,
db-proxy,request,request,2024-03-05 22:01:23,2024-03-05 22:01:24
auth,timeout,timeout,2024-03-06 17:39:29,2024-03-06 17:39:38
queue,request,request,2024-03-08 18:42:19,2024-03-08 18:42:19
auth,request,request,2024-03-05 02:03:20,2024-03-05 02:03:20
queue,request,request,2024-03-06 21:11:32,2024-03-06 21:11:32
api-gateway,request,request,2024-03-06 18:59:59,2024-03-06 19:00:00
billing,request,request,2024-03-08 22:40:46,2024-03-08 22:40:47
api-gateway,slow-query,slow-query,2024-03-06 05:28:41,2024-03-06 05:28:47
billing,timeout,timeout,2024-03-06 02:58:01,2024-03-06 02:58:20
api-gateway,timeout,timeout,2024-03-04 22:34:08,2024-03-04 22:34:33
billing,retry,retry,2024-03-04 22:46:42,2024-03-04 22:46:42
search,request,request,2024-03-04 07:23:18,2024-03-04 07:23:19
queue,request,request,2024-03-07 08:51:06,2024-03-07 08:51:07
db-proxy,request,request,2024-03-09 06:03:34,2024-03-09 06:03:35
search,request,request,2024-03-07 10:12:30,2024-03-07 10:12:31
auth,request,request,2024-03-05 02:51:16,2024-03-05 02:51:16
billing,error,error,2024-03-08 00:01:53,
auth,timeout,timeout,2024-03-06 18:21:39,2024-03-06 18:22:01
search,error,error,2024-03-09 18:13:37,
search,slow-query,slow-query,2024-03-05 17:31:34,2024-03-05 17:31:37
queue,request,request,2024-03-10 04:26:26,2024-03-10 04:26:27
api-gateway,request,request,2024-03-05 00:27:40,2024-03-05 00:27:41
api-gateway,request,request,2024-03-06 11:44:14,2024-03-06 11:44:14
search,request,request,2024-03-07 14:48:30,2024-03-07 14:48:30
queue,slow-query,slow-query,2024-03-06 14:13:40,2024-03-06 14:13:42
cdn,request,request,2024-03-06 19:57:23,2024-03-06 19:57:24
cdn,slow-query,slow-query,2024-03-09 11:28:57,2024-03-09 11:29:02
auth,retry,retry,2024-03-07 18:24:35,2024-03-07 18:24:35
queue,request,request,2024-03-04 15:25:01,2024-03-04 15:25:01
search,request,request,2024-03-04 15:06:00,2024-03-04 15:06:01
search,retry,retry,2024-03-09 18:01:18,2024-03-09 18:01:19
cdn,request,request,2024-03-10 06:10:01,2024-03-10 06:10:01
api-gateway,request,request,2024-03-05 17:11:21,2024-03-05 17:11:22
queue,request,request,2024-03-09 03:20:36,2024-03-09 03:20:37
api-gateway,retry,retry,2024-03-04 06:17:05,2024-03-04 06:17:06
db-proxy,request,request,2024-03-06 22:56:44,2024-03-06 22:56:45
billing,slow-query,slow-query,2024-03-04 00:31:24,2024-03-04 00:31:27
render,request,request,2024-03-10 06:22:35,2024-03-10 06:22:36
api-gateway,retry,retry,2024-03-04 14:24:02,2024-03-04 14:24:04
queue,retry,retry,2024-03-06 06:53:07,2024-03-06 06:53:09
auth,request,request,2024-03-06 18:28:40,2024-03-06 18:28:40
queue,request,request,2024-03-05 02:24:27,2024-03-05 02:24:28
db-proxy,request,request,2024-03-04 06:53:41,2024-03-04 06:53:42
search,request,request,2024-03-04 10:17:47,2024-03-04 10:17:48
render,request,request,2024-03-06 09:21:40,2024-03-06 09:21:40
queue,slow-query,slow-query,2024-03-08 18:06:42,2024-03-08 18:06:45
billing,slow-query,slow-query,2024-03-06 18:24:57,2024-03-06 18:25:06
render,request,request,2024-03-08 07:46:53,2024-03-08 07:46:55
db-proxy,request,request,2024-03-08 14:24:01,2024-03-08 14:24:02
auth,timeout,timeout,2024-03-08 17:56:17,2024-03-08 17:56:36
search,request,request,2024-03-08 14:26:48,2024-03-08 14:26:48
billing,error,error,2024-03-04 09:39:37,
db-proxy,request,request,2024-03-08 06:15:59,2024-03-08 06:15:59
search,request,request,2024-03-05 16:03:23,2024-03-05 16:03:25
render,slow-query,slow-query,2024-03-08 16:58:37,2024-03-08 16:58:40
cdn,slow-query,slow-query,2024-03-10 15:38:00,2024-03-10 15:38:07
queue,request,request,2024-03-07 13:52:39,2024-03-07 13:52:41
billing,request,request,2024-03-10 04:51:38,2024-03-10 04:51:38
auth,request,request,2024-03-05 12:37:43,2024-03-05 12:37:44
db-proxy,request,request,2024-03-06 13:39:15,2024-03-06 13:39:15
db-proxy,request,request,2024-03-06 03:38:58,2024-03-06 03:38:58
render,request,request,2024-03-04 23:05:19,2024-03-04 23:05:19
cdn,timeout,timeout,2024-03-04 07:18:51,2024-03-04 07:19:17
auth,error,error,2024-03-04 00:54:58,
api-gateway,error,error,2024-03-07 06:01:57,
search,request,request,2024-03-05 06:29:03,2024-03-05 06:29:05
auth,slow-query,slow-query,2024-03-08 02:50:05,2024-03-08 02:50:11
queue,request,request,2024-03-08 16:22:05,2024-03-08 16:22:06
auth,retry,retry,2024-03-08 09:43:18,2024-03-08 09:43:19
search,request,request,2024-03-04 04:38:07,2024-03-04 04:38:08
render,error,error,2024-03-06 07:37:42,
search,request,request,2024-03-04 20:17:01,2024-03-04 20:17:02
search,request,request,2024-03-09 18:11:44,2024-03-09 18:11:45
queue,request,request,2024-03-07 20:37:19,2024-03-07 20:37:19
db-proxy,retry,retry,2024-03-10 11:08:54,2024-03-10 11:08:55
queue,request,request,2024-03-09 21:43:28,2024-03-09 21:43:29
render,error,error,2024-03-06 18:28:35,
billing,request,request,2024-03-09 08:54:00,2024-03-09 08:54:01
billing,request,request,2024-03-06 13:11:39,2024-03-06 13:11:40
billing,request,request,2024-03-08 02:41:02,2024-03-08 02:41:03
queue,request,request,2024-03-04 00:05:53,2024-03-04 00:05:54
cdn,request,request,2024-03-09 11:33:34,2024-03-09 11:33:35
search,request,request,2024-03-10 18:40:36,2024-03-10 18:40:37
auth,request,request,2024-03-09 22:22:56,2024-03-09 22:22:56
db-proxy,timeout,timeout,2024-03-06 03:19:28,2024-03-06 03:19:48
search,request,request,2024-03-04 11:57:26,2024-03-04 11:57:27
billing,retry,retry,2024-03-10 18:23:28,2024-03-10 18:23:29
auth,request,request,2024-03-10 12:40:09,2024-03-10 12:40:10
auth,request,request,2024-03-08 00:54:54,2024-03-08 00:54:54
billing,error,error,2024-03-10 09:49:27,
billing,request,request,2024-03-10 06:26:03,2024-03-10 06:26:04
db-proxy,request,request,2024-03-07 14:14:05,2024-03-07 14:14:05
db-proxy,error,error,2024-03-09 04:44:05,
auth,request,request,2024-03-10 15:25:11,2024-03-10 15:25:11
billing,request,request,2024-03-07 22:01:19,2024-03-07 22:01:20
api-gateway,timeout,timeout,2024-03-04 00:48:55,2024-03-04 00:49:05
billing,request,request,2024-03-07 05:38:07,2024-03-07 05:38:08
db-proxy,request,request,2024-03-06 16:26:03,2024-03-06 16:26:04
db-proxy,slow-query,slow-query,2024-03-10 09:34:04,2024-03-10 09:34:08
api-gateway,slow-query,slow-query,2024-03-08 16:07:52,2024-03-08 16:07:54
search,timeout,timeout,2024-03-09 19:31:50,2024-03-09 19:32:12
search,request,request,2024-03-08 16:04:40,2024-03-08 16:04:41
search,request,request,2024-03-05 22:11:52,2024-03-05 22:11:54
cdn,retry,retry,2024-03-08 16:55:40,2024-03-08 16:55:41
api-gateway,request,request,2024-03-10 22:53:39,2024-03-10 22:53:40
api-gateway,request,request,2024-03-04 00:46:30,2024-03-04 00:46:30
cdn,request,request,2024-03-10 02:54:30,2024-03-10 02:54:30
search,request,request,2024-03-04 06:27:08,2024-03-04 06:27:08
billing,request,request,2024-03-09 05:13:05,2024-03-09 05:13:06
db-proxy,request,request,2024-03-05 05:47:00,2024-03-05 05:47:01
db-proxy,request,request,2024-03-06 01:12:34,2024-03-06 01:12:35
search,request,request,2024-03-09 06:20:04,2024-03-09 06:20:05
cdn,request,request,2024-03-07 15:54:27,2024-03-07 15:54:28
search,error,error,2024-03-05 08:47:26,
cdn,request,request,2024-03-05 14:39:14,2024-03-05 14:39:15
render,request,request,2024-03-06 21:02:41,2024-03-06 21:02:41
auth,request,request,2024-03-10 09:49:31,2024-03-10 09:49:32
render,timeout,timeout,2024-03-06 04:52:57,2024-03-06 04:53:24
api-gateway,slow-query,slow-query,2024-03-05 11:48:35,2024-03-05 11:48:40
cdn,retry,retry,2024-03-09 11:22:38,2024-03-09 11:22:40
auth,slow-query,slow-query,2024-03-05 13:03:54,2024-03-05 13:04:03
auth,slow-query,slow-query,2024-03-06 01:32:30,2024-03-06 01:32:33
billing,retry,retry,2024-03-08 00:30:30,2024-03-08 00:30:30
billing,request,request,2024-03-07 01:54:27,2024-03-07 01:54:28
queue,request,request,2024-03-07 15:51:17,2024-03-07 15:51:19
db-proxy,retry,retry,2024-03-06 10:51:46,2024-03-06 10:51:46
auth,request,request,2024-03-05 01:26:16,2024-03-05 01:26:17
cdn,request,request,2024-03-08 00:48:01,2024-03-08 00:48:02
render,request,request,2024-03-04 09:45:17,2024-03-04 09:45:18
queue,slow-query,slow-query,2024-03-09 09:30:14,2024-03-09 09:30:18
api-gateway,timeout,timeout,2024-03-05 00:39:51,2024-03-05 00:40:05
queue,slow-query,slow-query,2024-03-10 06:52:44,2024-03-10 06:52:51
render,request,request,2024-03-10 17:52:27,2024-03-10 17:52:27
queue,slow-query,slow-query,2024-03-09 16:56:34,2024-03-09 16:56:39
billing,request,request,2024-03-10 16:35:45,2024-03-10 16:35:46
auth,request,request,2024-03-04 03:16:07,2024-03-04 03:16:08
render,request,request,2024-03-06 22:23:40,2024-03-06 22:23:41
db-proxy,retry,retry,2024-03-07 21:06:17,2024-03-07 21:06:19
queue,request,request,2024-03-08 17:16:30,2024-03-08 17:16:31
render,request,request,2024-03-05 16:33:35,2024-03-05 16:33:35
billing,request,request,2024-03-04 11:54:30,2024-03-04 11:54:31
render,request,request,2024-03-04 12:56:17,2024-03-04 12:56:18
queue,request,request,2024-03-09 06:28:09,2024-03-09 06:28:09
cdn,request,request,2024-03-04 23:09:23,2024-03-04 23:09:24
queue,request,request,2024-03-07 13:53:14,2024-03-07 13:53:15
queue,retry,retry,2024-03-04 20:54:45,2024-03-04 20:54:46
search,request,request,2024-03-05 03:58:14,2024-03-05 03:58:14
auth,request,request,2024-03-05 22:18:18,2024-03-05 22:18:18
cdn,request,request,2024-03-07 18:02:02,2024-03-07 18:02:03
billing,error,error,2024-03-09 11:22:01,
queue,request,request,2024-03-07 18:14:02,2024-03-07 18:14:03
queue,request,request,2024-03-04 10:52:10,2024-03-04 10:52:11
api-gateway,request,request,2024-03-08 08:04:18,2024-03-08 08:04:18
cdn,slow-query,slow-query,2024-03-09 13:57:12,2024-03-09 13:57:14
search,request,request,2024-03-08 17:23:35,2024-03-08 17:23:35
render,request,request,2024-03-06 08:04:52,2024-03-06 08:04:52
queue,slow-query,slow-query,2024-03-05 12:57:09,2024-03-05 12:57:17
billing,timeout,timeout,2024-03-07 11:41:33,2024-03-07 11:41:45
api-gateway,request,request,2024-03-08 07:45:18,2024-03-08 07:45:19
billing,request,request,2024-03-04 20:59:24,2024-03-04 20:59:24
db-proxy,request,request,2024-03-08 07:50:17,2024-03-08 07:50:19
api-gateway,request,request,2024-03-05 15:06:30,2024-03-05 15:06:31
auth,slow-query,slow-query,2024-03-04 17:32:38,2024-03-04 17:32:39
auth,retry,retry,2024-03-08 09:30:38,2024-03-08 09:30:40
render,request,request,2024-03-07 16:43:47,2024-03-07 16:43:47
render,request,request,2024-03-10 10:32:44,2024-03-10 10:32:45
cdn,slow-query,slow-query,2024-03-07 09:07:45,2024-03-07 09:07:53
cdn,request,request,2024-03-08 09:15:44,2024-03-08 09:15:44
db-proxy,slow-query,slow-query,2024-03-05 15:46:29,2024-03-05 15:46:36
billing,request,request,2024-03-10 12:41:26,2024-03-10 12:41:26
render,request,request,2024-03-04 01:15:55,2024-03-04 01:15:56
billing,request,request,2024-03-07 09:20:37,2024-03-07 09:20:37
queue,retry,retry,2024-03-05 19:54:50,2024-03-05 19:54:51
db-proxy,request,request,2024-03-09 03:51:27,2024-03-09 03:51:28
api-gateway,request,request,2024-03-10 07:23:12,2024-03-10 07:23:13
search,request,request,2024-03-06 09:20:02,2024-03-06 09:20:02
queue,request,request,2024-03-04 04:10:55,2024-03-04 04:10:56
search,slow-query,slow-query,2024-03-10 19:57:47,2024-03-10 19:57:55
cdn,request,request,2024-03-09 10:05:39,2024-03-09 10:05:40
queue,request,request,2024-03-06 19:53:44,2024-03-06 19:53:45
search,slow-query,slow-query,2024-03-10 23:48:06,2024-03-10 23:48:14
api-gateway,request,request,2024-03-06 02:19:34,2024-03-06 02:19:35
billing,request,request,2024-03-10 02:20:48,2024-03-10 02:20:48
billing,slow-query,slow-query,2024-03-05 16:00:37,2024-03-05 16:00:39
billing,request,request,2024-03-05 16:53:55,2024-03-05 16:53:56
render,request,request,2024-03-09 16:02:53,2024-03-09 16:02:53
auth,request,request,2024-03-10 19:14:36,2024-03-10 19:14:37
db-proxy,request,request,2024-03-10 18:25:51,2024-03-10 18:25:51
billing,timeout,timeout,2024-03-05 08:27:21,2024-03-05 08:27:42
queue,request,request,2024-03-04 14:32:48,2024-03-04 14:32:50
cdn,request,request,2024-03-05 01:21:56,2024-03-05 01:21:56
api-gateway,request,request,2024-03-09 20:48:12,2024-03-09 20:48:13
render,request,request,2024-03-09 21:07:45,2024-03-09 21:07:46
db-proxy,retry,retry,2024-03-05 16:05:12,2024-03-05 16:05:13
db-proxy,timeout,timeout,2024-03-10 16:57:12,2024-03-10 16:57:31
render,request,request,2024-03-05 08:35:57,2024-03-05 08:35:58
billing,request,request,2024-03-06 11:10:04,2024-03-06 11:10:04
db-proxy,request,request,2024-03-10 14:21:14,2024-03-10 14:21:14
api-gateway,request,request,2024-03-04 13:28:15,2024-03-04 13:28:16
search,retry,retry,2024-03-04 12:44:07,2024-03-04 12:44:07
cdn,request,request,2024-03-05 19:42:31,2024-03-05 19:42:32
billing,request,request,2024-03-06 08:11:41,2024-03-06 08:11:43
auth,request,request,2024-03-07 12:18:17,2024-03-07 12:18:18
cdn,request,request,2024-03-05 00:51:25,2024-03-05 00:51:26
render,request,request,2024-03-09 11:22:47,2024-03-09 11:22:48
api-gateway,request,request,2024-03-05 13:47:51,2024-03-05 13:47:52
render,request,request,2024-03-07 23:53:30,2024-03-07 23:53:31
search,timeout,timeout,2024-03-07 03:10:45,2024-03-07 03:11:09
db-proxy,request,request,2024-03-07 17:30:47,2024-03-07 17:30:47
auth,request,request,2024-03-10 07:48:40,2024-03-10 07:48:41
search,timeout,timeout,2024-03-06 00:35:41,2024-03-06 00:36:10
api-gateway,request,request,2024-03-09 18:40:41,2024-03-09 18:40:42
queue,request,request,2024-03-05 10:17:41,2024-03-05 10:17:42
db-proxy,request,request,2024-03-10 07:15:32,2024-03-10 07:15:33
api-gateway,request,request,2024-03-07 11:30:30,2024-03-07 11:30:30
db-proxy,request,request,2024-03-07 02:53:40,2024-03-07 02:53:40
render,timeout,timeout,2024-03-04 20:34:36,2024-03-04 20:34:55
api-gateway,slow-query,slow-query,2024-03-07 09:58:35,2024-03-07 09:58:40
api-gateway,request,request,2024-03-09 00:02:25,2024-03-09 00:02:26
api-gateway,error,error,2024-03-04 02:24:17,
queue,request,request,2024-03-09 16:09:10,2024-03-09 16:09:10
cdn,request,request,2024-03-06 03:25:34,2024-03-06 03:25:34
cdn,request,request,2024-03-08 07:45:06,2024-03-08 07:45:07
api-gateway,request,request,2024-03-06 10:19:21,2024-03-06 10:19:21
api-gateway,request,request,2024-03-09 09:15:53,2024-03-09 09:15:55
cdn,error,error,2024-03-09 17:53:41,
api-gateway,retry,retry,2024-03-09 21:13:25,2024-03-09 21:13:26
render,request,request,2024-03-04 13:02:34,2024-03-04 13:02:35
search,error,error,2024-03-04 22:05:28,
db-proxy,timeout,timeout,2024-03-05 21:22:51,2024-03-05 21:23:20
api-gateway,slow-query,slow-query,2024-03-04 23:53:23,2024-03-04 23:53:31
billing,request,request,2024-03-07 21:57:36,2024-03-07 21:57:38
render,request,request,2024-03-09 11:22:18,2024-03-09 11:22:19
auth,request,request,2024-03-10 06:29:52,2024-03-10 06:29:53
cdn,request,request,2024-03-04 11:19:21,2024-03-04 11:19:21
db-proxy,request,request,2024-03-06 18:55:13,2024-03-06 18:55:14
billing,request,request,2024-03-10 08:43:33,2024-03-10 08:43:33
billing,request,request,2024-03-07 03:08:31,2024-03-07 03:08:32
db-proxy,request,request,2024-03-07 04:07:12,2024-03-07 04:07:13
render,request,request,2024-03-08 19:06:50,2024-03-08 19:06:51
billing,timeout,timeout,2024-03-04 23:32:35,2024-03-04 23:32:48
search,request,request,2024-03-04 09:10:03,2024-03-04 09:10:04
auth,timeout,timeout,2024-03-09 01:18:32,2024-03-09 01:18:55
api-gateway,request,request,2024-03-07 07:49:58,2024-03-07 07:50:00
render,request,request,2024-03-06 18:40:26,2024-03-06 18:40:27
cdn,request,request,2024-03-09 16:20:52,2024-03-09 16:20:53
queue,slow-query,slow-query,2024-03-08 15:10:16,2024-03-08 15:10:18
db-proxy,request,request,2024-03-07 00:53:34,2024-03-07 00:53:35
billing,request,request,2024-03-09 18:06:33,2024-03-09 18:06:34
